gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_1,WT_2,WT_3,512_1,512_2,512_3
b0011,TI83333S000011,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,10643-11356,b0011,8.256689346,8.295554886,8.280880308,7.994525408,8.027440682,8.085878016
b0012,TI83333S000012,CDS,positive regulator for sigma 32 heat shock promoters,"transcriptional activator for sigma H (sigma 32) promoters, permitting growth at high temperature; go_function: transcriptional activator activity [goid 0016563]; go_process: protein folding [goid 0006457]; go_process: transcription [goid 0006350]; go_process: response to temperature [goid 0009266]","Escherichia coli K12, complete genome.",NC_000913,10725-11315,b0012,6.910049342,6.909548108,6.870784245,6.960540408,6.987600677,6.942417022
b0013,TI83333S000013,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,11382-11786,b0013,7.079475363,6.997353533,7.008960786,7.104520999,7.06168241,7.031576297
b0014,TI83333S000014,CDS,molecular chaperone DnaK,heat shock protein 70; assists in folding of nascent polypeptide chains; refolding of misfolded proteins; utilizes ATPase activity to help fold; co-chaperones are DnaJ and GrpE; multiple copies in some bacteria; go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457]; go_process: response to osmotic stress [goid 0006970],"Escherichia coli K12, complete genome.",NC_000913,12163-14079,b0014,15.15636681,15.20702978,15.0278521,15.05345932,14.8890973,15.23875338
b0015,TI83333S000015,CDS,chaperone with DnaK; heat shock protein,"heat shock protein (Hsp40), co-chaperone with DnaK; go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457]","Escherichia coli K12, complete genome.",NC_000913,14168-15298,b0015,13.60390365,13.80331497,13.22235799,13.48570711,13.35228983,13.32407582
b0016,TI83333S000016,CDS,IS186 hypothetical protein,"homolog, IS186 transposase","Escherichia coli K12, complete genome.",NC_000913,15445-16557,b0016,12.171172,12.52448191,12.03650695,12.20389071,12.00369719,11.85814378
b0017,TI83333S000017,CDS,IS186 and IS421 hypothetical protein,"homolog, IS186 and IS421 protein","Escherichia coli K12, complete genome.",NC_000913,15869-16177,b0017,8.327973507,7.940867112,8.431599617,8.439276789,8.655347256,8.6316259
b0018,TI83333S000018,CDS,regulatory peptide whose translation enables hokC (gef) expression,,"Escherichia coli K12, complete genome.",NC_000913,16751-16960,b0018,10.82065574,10.86082109,10.91939638,10.93431386,11.14442676,11.05960656
b4412,TI83333S000019,CDS,small toxic membrane polypeptide,,"Escherichia coli K12, complete genome.",NC_000913,16751-16903,b4412,10.79032414,10.64502323,10.8315161,10.89419056,10.96077665,11.04678751
b0019,TI83333S000020,CDS,"Na+/H antiporter, pH dependent",sodium:proton antiporter (NhaA family); go_component: inner membrane [goid 0019866]; go_process: response to pH [goid 0009268],"Escherichia coli K12, complete genome.",NC_000913,17489-18655,b0019,12.34794046,12.34045371,12.52149692,11.63562838,11.75549525,11.56145319
b0020,TI83333S000021,CDS,transcriptional activator of cation transport (LysR family),transcriptional activator of nhaA; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: transcription [goid 0006350]; go_process: response to pH [goid 0009268],"Escherichia coli K12, complete genome.",NC_000913,18715-19620,b0020,11.46908117,11.48383776,11.66450084,10.92535552,11.02952569,11.13329362
b0021,TI83333S000022,CDS,IS1 protein InsB,,"Escherichia coli K12, complete genome.",NC_000913,19811-20314,b0021,12.38473488,12.28889555,12.38409867,13.52537023,13.7791683,13.69315037
b0022,TI83333S000023,CDS,IS1 protein InsA,,"Escherichia coli K12, complete genome.",NC_000913,20233-20508,b0022,12.84100484,12.80414443,12.93308839,14.66150521,15.00940423,14.70836908
b0023,TI83333S000024,CDS,30S ribosomal protein S20,binds directly to the 16S ribosomal RNA; go_component: cytosolic ribosome (sensu Bacteria) [goid 0009281]; go_component: cytoplasm [goid 0005737]; go_function: structural constituent of ribosome [goid 0003735]; go_process: protein biosynthesis [goid 0006412],"Escherichia coli K12, complete genome.",NC_000913,20815-21078,b0023,15.58009657,15.54591041,15.13860704,14.99519635,14.5070921,14.07603579
b0024,TI83333S000025,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,21181-21399,b0024,11.68035739,11.64974144,11.78837744,11.71570855,11.69428111,11.79629517
b0025,TI83333S000026,CDS,hypothetical protein,go_component: cytoplasm [goid 0005737],"Escherichia coli K12, complete genome.",NC_000913,21407-22348,b0025,14.49599855,14.5416224,14.48983043,14.28895265,14.19735693,14.16672221
b0026,TI83333S000027,CDS,isoleucyl-tRNA synthetase,catalyzes the formation of isoleucyl-tRNA(Ile) from isoleucine and tRNA(Ile); go_component: cytoplasm [goid 0005737]; go_process: amino acid activation [goid 0006418],"Escherichia coli K12, complete genome.",NC_000913,22391-25207,b0026,14.2200016,14.35876238,14.34906862,14.33269561,14.29296305,14.25518592
b0027,TI83333S000028,CDS,signal peptidase II,lipoprotein signal peptidase; integral membrane protein that removes signal peptides from prolipoproteins during lipoprotein biosynthesis; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,25207-25701,b0027,13.40030415,13.52740815,13.58720797,13.34915324,13.37794764,13.25968403
b0028,TI83333S000029,CDS,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),FKBX-type 16KD peptidyl-prolyl cis-trans isomerase (a rotamase); go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,25826-26275,b0028,14.43905079,14.43848604,14.42554514,14.2569732,14.34881323,14.01823394
b0029,TI83333S000030,CDS,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,catalzes the conversion 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate; go_component: cytoplasm [goid 0005737]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,26277-27227,b0029,13.05918281,13.13982812,13.01819956,12.90058787,12.95682059,12.57016756
b0030,TI83333S000031,CDS,nucleoside hydrolase,ribonucleoside hydrolase 3; go_process: nucleotide-sugar biosynthesis [goid 0009226],"Escherichia coli K12, complete genome.",NC_000913,27293-28207,b0030,11.05175519,11.13480252,11.37501295,10.42047055,10.52197174,10.45926078
b0031,TI83333S000032,CDS,dihydrodipicolinate reductase,"catalyzes the reduction of 2,3-dihydrodipicolinate to 2,3,4,5-tetrahydrodipicolinate in lysine and diaminopimelate biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: lysine biosynthesis via diaminopimelate [goid 0009089]","Escherichia coli K12, complete genome.",NC_000913,28374-29195,b0031,15.22931313,15.17558085,14.96739702,14.85024502,14.68716944,14.47122635
b0032,TI83333S000033,CDS,carbamoyl-phosphate synthase small subunit,"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate; go_process: arginine biosynthesis [goid 0006526]; go_process: pyrimidine nucleotide biosynthesis [goid 0006221]","Escherichia coli K12, complete genome.",NC_000913,29651-30799,b0032,14.46645311,15.00147201,14.08651209,14.97897393,13.99770936,13.7006571
b0033,TI83333S000034,CDS,carbamoyl-phosphate synthase large subunit,"composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate; binds manganese; involved in pyrimidine synthesis; go_process: arginine biosynthesis [goid 0006526]; go_process: pyrimidine nucleotide biosynthesis [goid 0006221]","Escherichia coli K12, complete genome.",NC_000913,30817-34038,b0033,14.93927872,14.95655001,15.03714773,15.30831017,15.09637874,15.05494446
b0034,TI83333S000035,CDS,transcriptional regulator of cai operon,EcoGene suggests alternate start codon; transcriptional regulator of carnitine metabolism; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: amine catabolism [goid 0009310]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,34195-34695,b0034,12.5043022,12.25079719,12.57058365,12.5084224,12.46251636,12.54929827
b0035,TI83333S000036,CDS,possible synthesis of cofactor for carnitine racemase and dehydratase,"EcoGene suggests alternate start codon; putative acyl transferase, stimulates activity of carnitine racemase and carnitine dehydrogenase; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413]","Escherichia coli K12, complete genome.",NC_000913,34781-35392,b0035,10.10374133,9.942613584,10.12231555,10.06920498,10.22212835,10.19865739
b0036,TI83333S000037,CDS,carnitinyl-CoA dehydratase,catalyzes the dehydration fo L-carnitinyl-CoA to crotonobetainyl-Coa; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,35377-36270,b0036,7.206962899,7.221688354,7.305947253,7.342794347,7.411620559,7.449692579
b0037,TI83333S000038,CDS,crotonobetaine/carnitine-CoA ligase,go_component: inner membrane [goid 0019866]; go_process: amine catabolism [goid 0009310],"Escherichia coli K12, complete genome.",NC_000913,36271-37839,b0037,10.1711602,10.14530865,9.999677907,10.25632321,10.20863029,10.30062991
b0038,TI83333S000039,CDS,crotonobetainyl-CoA:carnitineCoA-transferase,catalyzes formation of L-carnitinyl-CoA by transfering the CoA moiety from crotonbetainyl-CoA; go_component: cytoplasm [goid 0005737]; go_process: carnitine catabolism [goid 0042413]; go_process: amine catabolism [goid 0009310],"Escherichia coli K12, complete genome.",NC_000913,37898-39115,b0038,9.389282941,9.447927746,9.526732096,9.449704943,9.399244854,9.754177714
b0039,TI83333S000040,CDS,crotonobetainyl-CoA dehydrogenase,catalyzes the reduction of crotonobetainyl-CoA to gamma-butyrobetainyl-Coa; go_component: cytoplasm [goid 0005737]; go_function: electron acceptor activity [goid 0009054]; go_process: glyoxylate cycle [goid 0006097]; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,39244-40386,b0039,11.38614095,11.21188565,11.30441825,11.33132359,11.42038256,11.29591383
b0040,TI83333S000041,CDS,L-carnitine/gamma-butyrobetaine antiporter,catalyzes the exchange of L-carnitine for gamma-butyrobetaine in carnitine metabolism; go_component: inner membrane [goid 0019866]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,40417-41931,b0040,7.94323419,7.855382222,7.959503756,7.963094683,7.981874566,7.996712812
b0041,TI83333S000042,CDS,putative electron transfer flavoprotein subunit beta,thought to participate in the transfer of electrons to nitrogenase during nitrogen fixation; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,42367-43173,b0041,9.175175967,8.998211996,9.079482525,9.152718115,9.191624353,9.276904885
b0042,TI83333S000043,CDS,putative electron transfer flavoprotein subunit alpha,involved in electron transfer during carnitine metabolism; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,43188-44129,b0042,10.92215162,10.79334615,10.75986134,10.84184294,10.98975137,10.89956917
b0043,TI83333S000044,CDS,carnitine metabolism related,flavoprotein; electron transport; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,44180-45466,b0043,11.75444741,11.66256928,11.56874509,11.70119044,11.84110703,11.79261454
b0044,TI83333S000045,CDS,putative ferredoxin,"putative ferredoxin, carnitine metabolism; go_process: carnitine catabolism [goid 0042413]","Escherichia coli K12, complete genome.",NC_000913,45463-45750,b0044,10.67044531,10.42348356,10.43694168,10.63952713,10.62858027,10.70814997
b0045,TI83333S000046,CDS,putative transport protein,putative transport protein (MFS family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,45807-47138,b0045,7.471625064,7.46522355,7.424350896,7.474936046,7.479793725,7.459715612
b0046,TI83333S000047,CDS,glutathione-regulated potassium-efflux system ancillary protein,"Required for full activity of KefC, a potassium-proton antiporter","Escherichia coli K12, complete genome.",NC_000913,47246-47776,b0046,9.978228232,10.15181956,9.982808571,9.426965337,9.33852089,9.118286462
b0047,TI83333S000048,CDS,glutathione-regulated potassium-efflux system protein,transport system that facilitates potassium-efflux; go_component: inner membrane [goid 0019866]; go_function: potassium:hydrogen antiporter activity [goid 0015386],"Escherichia coli K12, complete genome.",NC_000913,47769-49631,b0047,11.17568849,11.05014706,10.95764092,10.96665758,10.79514103,10.83721283
b0048,TI83333S000049,CDS,"dihydrofolate reductase type I, trimethoprim resistance",dihydrofolate reductase type I; trimethoprim resistance; go_process: folic acid biosynthesis [goid 0046656]; go_process: 10-formyltetrahydrofolate biosynthesis [goid 0009257],"Escherichia coli K12, complete genome.",NC_000913,49823-50302,b0048,10.18912405,10.53531814,10.29989099,9.517604312,9.14537099,8.854687657
b0049,TI83333S000050,CDS,diadenosinetetraphosphatase,"hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP; go_component: cytoplasm [goid 0005737]; go_process: nucleobase, nucleoside and nucleotide interconversion [goid 0015949]","Escherichia coli K12, complete genome.",NC_000913,50380-51222,b0049,11.70102972,11.94615869,11.6733586,11.2810228,11.16949836,10.99334164
b0050,TI83333S000051,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,51229-51606,b0050,13.38217799,13.62839838,13.31859711,13.06060982,12.97908239,12.72652297
b0051,TI83333S000052,CDS,dimethyladenosine transferase,Specifically dimethylates two adjacent adenosines in the loop of a conserved hairpin near the 3'end of 16S rRNA in the 30S particle. Its inactivation leads to kasugamycin resistance; go_component: cytoplasm [goid 0005737]; go_process: RNA modification [goid 0009451]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,51609-52430,b0051,13.51558108,13.78685412,13.35891158,13.22374284,13.05231206,12.79926674
b0052,TI83333S000053,CDS,4-hydroxythreonine-4-phosphate dehydrogenase,Catalyzes the NAD-dependent oxidation of 4-(phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4-(phosphohydroxy)butyric acid which spontaneously decarboxylate to form 1-amino-3-(phosphohydroxy)propan-2-one (3-amino-2-oxopropyl phosphate); go_component: cytoplasm [goid 0005737]; go_process: pyridoxine biosynthesis [goid 0008615],"Escherichia coli K12, complete genome.",NC_000913,52427-53416,b0052,12.35366621,12.86883482,12.24613053,12.22685218,11.76056882,11.62288594
b0053,TI83333S000054,CDS,"peptidyl-prolyl cis-trans isomerase (PPIase), involved in maturation of outer membrane proteins",survival protein; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,53416-54702,b0053,13.44936879,13.77364502,13.63944318,13.50302738,13.39502374,13.32607904
b0054,TI83333S000055,CDS,organic solvent tolerance protein precursor,determines N-hexane tolerance and is involved in outer membrane permeability; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,54755-57109,b0054,13.92446733,14.18666785,13.92448813,13.83026589,13.59671929,13.70859989
b0055,TI83333S000056,CDS,Dna-J like membrane chaperone protein,functions as a co-chaperone with DnaK; involved in regulation of colanic acid capsule; inner membrane protein; dimerized via transmembrane domain; J-like domain is cytoplasmic and can functionally substitute for DnaJ; stimulates synthesis of colanic acid m; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,57364-58179,b0055,12.41065476,12.21625112,12.3718624,12.11891396,12.25444537,12.11930396
b0056,TI83333S000057,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,58474-59124,b0056,11.01318368,10.89407727,10.73649701,10.7775543,10.70310091,10.97698478
b0057,TI83333S000058,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,59121-59279,b0057,12.339717,12.41817091,12.51149501,12.24994882,12.128684,12.27676977
b0058,TI83333S000059,CDS,23S rRNA pseudouridylate 746 synthase,Ribosomal large subunit pseudouridine synthase A; go_process: RNA modification [goid 0009451],"Escherichia coli K12, complete genome.",NC_000913,59687-60346,b0058,11.82341026,11.88639556,12.03279223,11.79810043,11.82930602,11.69750032
b0059,TI83333S000060,CDS,ATP-dependent helicase HepA,"Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on; go_process: RNA modification [goid 0009451]","Escherichia coli K12, complete genome.",NC_000913,60358-63264,b0059,11.78930481,12.04444372,11.91501609,11.80086594,11.73230483,11.6160393
b0060,TI83333S000061,CDS,DNA polymerase II,"has polymerase, DNA-binding and 3'-5' exonuclease activities; go_component: cytoplasm [goid 0005737]; go_process: DNA dependent DNA replication [goid 0006261]; go_process: DNA repair [goid 0006281]; go_process: response to radiation [goid 0009314]; go_process: SOS response [goid 0009432]","Escherichia coli K12, complete genome.",NC_000913,63429-65780,b0060,12.76575393,12.75471104,13.06869403,10.91187387,11.0960344,11.00213913
b0061,TI83333S000062,CDS,L-ribulose-5-phosphate 4-epimerase,catalyzes the formation of D-xylulose 5-phosphate from L-ribulose 5-phosphate; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,65855-66550,b0061,8.958352895,8.828401283,9.023046744,8.926317727,8.824828165,8.899631443
b0062,TI83333S000063,CDS,L-arabinose isomerase,catalyzes the formation of L-ribulose from L-arabinose in L-arabinose catabolism; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,66835-68337,b0062,8.966772774,8.953083261,9.075497329,8.640027887,8.72862691,8.768639583
b0063,TI83333S000064,CDS,ribulokinase,catalyzes the phosphorylation of ribulose to ribulose 5-phosphate; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,68348-70048,b0063,9.265729256,9.225126272,9.227570259,9.217160338,9.24284912,9.296535719
b0064,TI83333S000065,CDS,transcriptional regulator for ara operon,transcriptional regulator of arabinose catabolism (AraC/XylS family); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: carbohydrate catabolism [goid 0016052]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,70387-71265,b0064,11.3227898,10.99405475,11.85071244,10.91140958,11.38691299,11.52805325
b0065,TI83333S000066,CDS,putative integral membrane protein,,"Escherichia coli K12, complete genome.",NC_000913,71351-72115,b0065,12.07777744,11.8698614,11.87937931,11.75923688,11.92059291,11.93358938
b0066,TI83333S000067,CDS,putative ATP-binding component of a transport system,"thiamine transport protein (ABC superfamily, atp_bind); go_component: cytoplasm [goid 0005737]; go_process: thiamin biosynthesis [goid 0009228]","Escherichia coli K12, complete genome.",NC_000913,72229-72927,b0066,10.93412014,11.11026464,10.6292818,10.88490218,10.73836856,10.01768399
b0067,TI83333S000068,CDS,thiamin ABC transporter membrane component,functions in transport of thiamine and thiamine pyrophosphate into the cell; repressed in presence of exogenous thiamine; go_component: inner membrane [goid 0019866]; go_process: thiamin biosynthesis [goid 0009228],"Escherichia coli K12, complete genome.",NC_000913,72911-74521,b0067,11.11798921,11.44669907,10.65849274,11.06773193,10.69670928,10.27123946
b0068,TI83333S000069,CDS,thiamin-binding periplasmic protein,"thiamine transport protein (ABC superfamily, peri_bind); go_component: periplasmic space [goid 0042597]; go_process: thiamin biosynthesis [goid 0009228]","Escherichia coli K12, complete genome.",NC_000913,74497-75480,b0068,11.34155595,11.60173496,10.98473806,11.14842645,10.90813549,10.65850391
b0069,TI83333S000070,CDS,putative periplasmic binding protein of transport system,putative transport protein; go_component: periplasmic space [goid 0042597],"Escherichia coli K12, complete genome.",NC_000913,75644-77299,b0069,9.950519275,10.05335279,10.24279662,10.13722233,10.12823578,10.47007059
b0070,TI83333S000071,CDS,Sugar efflux protein,"proton-coupled beta-galactosidase, lactose and glucose efflux pump (MFS family); go_component: inner membrane [goid 0019866]; go_function: lactose/glucose efflux transporter activity [goid 0015543]; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,77621-78799,b0070,11.59643859,11.51812183,11.6337265,11.43052449,11.66515858,11.50925268
b0071,TI83333S000072,CDS,isopropylmalate isomerase small subunit,catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate in leucine biosynthesis; forms a heterodimer of LeuC/D; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,78848-79453,b0071,14.52462747,14.45402869,14.66381775,14.69439762,14.67033365,14.8149519
b0072,TI83333S000073,CDS,isopropylmalate isomerase large subunit,catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,79464-80864,b0072,14.66528409,14.77292422,14.83425525,14.91151132,14.70086418,15.09892367
b0073,TI83333S000074,CDS,3-isopropylmalate dehydrogenase,catalyzes the oxidation of 3-isopropylmalate to 3-carboxy-4-methyl-2-oxopentanoate in leucine biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,80867-81961,b0073,14.03442694,14.29889295,14.09369508,14.29399353,14.0465666,14.39958292
b0074,TI83333S000075,CDS,2-isopropylmalate synthase,catalyzes the formation of 2-isopropylmalate from acetyl-CoA and 2-oxoisovalerate in leucine biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,81958-83529,b0074,14.66094361,14.38027887,14.79045298,14.69995902,14.7703586,15.11538021
b0075,TI83333S000076,CDS,leu operon leader peptide,go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,83622-83708,b0075,14.50204823,14.28909854,14.46748555,13.92990748,14.24359164,13.83471348
b0076,TI83333S000077,CDS,leucine transcriptional activator,activator for leuABCD operon; member of LysR family of transcriptional activators; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: leucine biosynthesis [goid 0009098]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,84191-85312,b0076,9.773292477,9.417550622,9.81922721,9.740613354,9.903315473,10.37949642
b0077,TI83333S000078,CDS,acetolactate synthase III large subunit,"catalyzes the formation of 2-acetolactate from pyruvate, leucine sensitive","Escherichia coli K12, complete genome.",NC_000913,85540-87354,b0077,14.05521114,14.15438532,14.09167973,13.81808128,13.73134252,13.74216757
b0078,TI83333S000079,CDS,acetolactate synthase small subunit,"with IlvI catalyzes the formation of 2-acetolactate from pyruvate, the small subunit is required for full activity and valine sensitivity","Escherichia coli K12, complete genome.",NC_000913,87357-87848,b0078,14.73776345,14.72187798,14.77930142,14.42947376,14.46452598,14.45887059
b0079,TI83333S000080,CDS,fruR leader peptide,go_process: glycolysis [goid 0006096],"Escherichia coli K12, complete genome.",NC_000913,87860-87946,b0079,11.92923837,12.09067042,11.90442542,11.60530583,11.55121012,11.44236796
b0080,TI83333S000081,CDS,transcriptional regulator of the control of carbon and energy metabolism (GalR/LacI family),transcriptional repressor of fru operon and others; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: glycolysis [goid 0006096]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,88028-89032,b0080,12.11767361,12.29975161,12.13234571,11.77539833,11.75074677,11.76494652
b0081,TI83333S000082,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,89634-90092,b0081,14.25071314,14.0731967,14.4767938,13.57637134,13.71990442,13.50557167
b0082,TI83333S000083,CDS,S-adenosyl-methyltransferase,go_process: lipoprotein biosynthesis [goid 0042158],"Escherichia coli K12, complete genome.",NC_000913,90094-91035,b0082,13.80053791,13.51262278,13.90672137,13.18712575,13.40810454,13.31273633
b0083,TI83333S000084,CDS,cell division protein; ingrowth of wall at septum,,"Escherichia coli K12, complete genome.",NC_000913,91032-91397,b0083,14.24612762,13.91535788,14.26192743,13.54453541,13.89261743,13.79134967
b0084,TI83333S000085,CDS,"division-specific transpeptidase, penicillin-binding protein 3",septum formation; penicillin-binding protein 3; peptidoglycan synthetase; go_component: inner membrane [goid 0019866]; go_process: peptidoglycan biosynthesis [goid 0009252]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,91413-93179,b0084,12.99284467,12.88721017,12.79884937,12.53049845,12.62478856,12.24361097
