gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_1,WT_2,WT_3,WT_amox_1,WT_amox_2,WT_amox_3
b0073,TI83333S000074,CDS,3-isopropylmalate dehydrogenase,catalyzes the oxidation of 3-isopropylmalate to 3-carboxy-4-methyl-2-oxopentanoate in leucine biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,80867-81961,b0073,14.03442694,14.29889295,14.09369508,14.19229005,14.08589052,14.20794504
b0074,TI83333S000075,CDS,2-isopropylmalate synthase,catalyzes the formation of 2-isopropylmalate from acetyl-CoA and 2-oxoisovalerate in leucine biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,81958-83529,b0074,14.66094361,14.38027887,14.79045298,14.82464407,14.10310902,14.22919574
b0075,TI83333S000076,CDS,leu operon leader peptide,go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,83622-83708,b0075,14.50204823,14.28909854,14.46748555,15.22410523,13.89612232,13.77528575
b0076,TI83333S000077,CDS,leucine transcriptional activator,activator for leuABCD operon; member of LysR family of transcriptional activators; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: leucine biosynthesis [goid 0009098]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,84191-85312,b0076,9.773292477,9.417550622,9.81922721,9.829913488,9.205582974,9.487984924
b0077,TI83333S000078,CDS,acetolactate synthase III large subunit,"catalyzes the formation of 2-acetolactate from pyruvate, leucine sensitive","Escherichia coli K12, complete genome.",NC_000913,85540-87354,b0077,14.05521114,14.15438532,14.09167973,14.16291125,14.1083781,14.13699882
b0078,TI83333S000079,CDS,acetolactate synthase small subunit,"with IlvI catalyzes the formation of 2-acetolactate from pyruvate, the small subunit is required for full activity and valine sensitivity","Escherichia coli K12, complete genome.",NC_000913,87357-87848,b0078,14.73776345,14.72187798,14.77930142,14.88272316,14.75629667,14.70194905
b0079,TI83333S000080,CDS,fruR leader peptide,go_process: glycolysis [goid 0006096],"Escherichia coli K12, complete genome.",NC_000913,87860-87946,b0079,11.92923837,12.09067042,11.90442542,12.08227414,12.13775705,12.01491749
b0080,TI83333S000081,CDS,transcriptional regulator of the control of carbon and energy metabolism (GalR/LacI family),transcriptional repressor of fru operon and others; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: glycolysis [goid 0006096]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,88028-89032,b0080,12.11767361,12.29975161,12.13234571,12.17985567,12.29149342,12.26862606
b0081,TI83333S000082,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,89634-90092,b0081,14.25071314,14.0731967,14.4767938,14.49418011,14.04926797,14.06943224
b0082,TI83333S000083,CDS,S-adenosyl-methyltransferase,go_process: lipoprotein biosynthesis [goid 0042158],"Escherichia coli K12, complete genome.",NC_000913,90094-91035,b0082,13.80053791,13.51262278,13.90672137,13.88655164,13.46911525,13.41783228
b0083,TI83333S000084,CDS,cell division protein; ingrowth of wall at septum,,"Escherichia coli K12, complete genome.",NC_000913,91032-91397,b0083,14.24612762,13.91535788,14.26192743,14.26148284,13.90538211,13.82370418
