gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_amox_1,WT_amox_2,WT_amox_3,512_amox_1,512_amox_2,512_amox_3
b0021,TI83333S000022,CDS,IS1 protein InsB,,"Escherichia coli K12, complete genome.",NC_000913,19811-20314,b0021,12.39954689,12.33815807,12.44688563,13.71628286,13.7447056,13.71666181
b0022,TI83333S000023,CDS,IS1 protein InsA,,"Escherichia coli K12, complete genome.",NC_000913,20233-20508,b0022,12.94839681,12.77867123,12.77426943,14.79483344,14.77197184,14.75289291
b0023,TI83333S000024,CDS,30S ribosomal protein S20,binds directly to the 16S ribosomal RNA; go_component: cytosolic ribosome (sensu Bacteria) [goid 0009281]; go_component: cytoplasm [goid 0005737]; go_function: structural constituent of ribosome [goid 0003735]; go_process: protein biosynthesis [goid 0006412],"Escherichia coli K12, complete genome.",NC_000913,20815-21078,b0023,14.72327128,15.85889014,15.47824616,14.26509778,14.10420151,13.68916241
b0024,TI83333S000025,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,21181-21399,b0024,11.72320667,11.51570326,11.65331085,11.65159908,11.72958167,11.78161314
b0025,TI83333S000026,CDS,hypothetical protein,go_component: cytoplasm [goid 0005737],"Escherichia coli K12, complete genome.",NC_000913,21407-22348,b0025,14.55541364,14.70078396,14.73839054,14.39935363,14.31174618,14.4026702
b0026,TI83333S000027,CDS,isoleucyl-tRNA synthetase,catalyzes the formation of isoleucyl-tRNA(Ile) from isoleucine and tRNA(Ile); go_component: cytoplasm [goid 0005737]; go_process: amino acid activation [goid 0006418],"Escherichia coli K12, complete genome.",NC_000913,22391-25207,b0026,14.2372438,14.38588637,14.49906642,14.2644068,14.2399639,14.33299506
b0027,TI83333S000028,CDS,signal peptidase II,lipoprotein signal peptidase; integral membrane protein that removes signal peptides from prolipoproteins during lipoprotein biosynthesis; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,25207-25701,b0027,13.43032641,13.5865622,13.69984441,13.31429088,13.21052943,13.33029249
b0028,TI83333S000029,CDS,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),FKBX-type 16KD peptidyl-prolyl cis-trans isomerase (a rotamase); go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,25826-26275,b0028,14.44705031,14.56766494,14.6077679,14.24701107,14.09975157,14.17586493
b0029,TI83333S000030,CDS,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,catalzes the conversion 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate; go_component: cytoplasm [goid 0005737]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,26277-27227,b0029,12.83071089,13.27784027,13.2686913,12.79717694,12.57979378,12.69093835
b0030,TI83333S000031,CDS,nucleoside hydrolase,ribonucleoside hydrolase 3; go_process: nucleotide-sugar biosynthesis [goid 0009226],"Escherichia coli K12, complete genome.",NC_000913,27293-28207,b0030,11.09481271,11.06736997,10.95364022,10.60013144,10.469522,10.51126961
b0031,TI83333S000032,CDS,dihydrodipicolinate reductase,"catalyzes the reduction of 2,3-dihydrodipicolinate to 2,3,4,5-tetrahydrodipicolinate in lysine and diaminopimelate biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: lysine biosynthesis via diaminopimelate [goid 0009089]","Escherichia coli K12, complete genome.",NC_000913,28374-29195,b0031,14.73152154,15.24183871,15.13674384,14.69622317,14.54059462,14.28190804
b0032,TI83333S000033,CDS,carbamoyl-phosphate synthase small subunit,"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate; go_process: arginine biosynthesis [goid 0006526]; go_process: pyrimidine nucleotide biosynthesis [goid 0006221]","Escherichia coli K12, complete genome.",NC_000913,29651-30799,b0032,14.3316617,15.39515192,15.35752079,13.45515278,13.67456283,13.2055359
b0033,TI83333S000034,CDS,carbamoyl-phosphate synthase large subunit,"composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate; binds manganese; involved in pyrimidine synthesis; go_process: arginine biosynthesis [goid 0006526]; go_process: pyrimidine nucleotide biosynthesis [goid 0006221]","Escherichia coli K12, complete genome.",NC_000913,30817-34038,b0033,15.06143642,14.99889084,15.19162927,15.04292978,14.98593776,14.99752298
b0034,TI83333S000035,CDS,transcriptional regulator of cai operon,EcoGene suggests alternate start codon; transcriptional regulator of carnitine metabolism; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: amine catabolism [goid 0009310]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,34195-34695,b0034,12.60768941,12.34941779,12.42033227,12.46198026,12.5097323,12.54322057
b0035,TI83333S000036,CDS,possible synthesis of cofactor for carnitine racemase and dehydratase,"EcoGene suggests alternate start codon; putative acyl transferase, stimulates activity of carnitine racemase and carnitine dehydrogenase; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413]","Escherichia coli K12, complete genome.",NC_000913,34781-35392,b0035,10.12943722,10.01551035,10.14586239,10.21160985,10.37555037,10.37236297
b0036,TI83333S000037,CDS,carnitinyl-CoA dehydratase,catalyzes the dehydration fo L-carnitinyl-CoA to crotonobetainyl-Coa; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,35377-36270,b0036,7.235449312,7.201887966,7.224331446,7.346375542,7.441904304,7.421709316
b0037,TI83333S000038,CDS,crotonobetaine/carnitine-CoA ligase,go_component: inner membrane [goid 0019866]; go_process: amine catabolism [goid 0009310],"Escherichia coli K12, complete genome.",NC_000913,36271-37839,b0037,10.18872066,10.06202118,10.19261436,10.17040609,10.31110672,10.18332467
b0038,TI83333S000039,CDS,crotonobetainyl-CoA:carnitineCoA-transferase,catalyzes formation of L-carnitinyl-CoA by transfering the CoA moiety from crotonbetainyl-CoA; go_component: cytoplasm [goid 0005737]; go_process: carnitine catabolism [goid 0042413]; go_process: amine catabolism [goid 0009310],"Escherichia coli K12, complete genome.",NC_000913,37898-39115,b0038,9.62432182,9.457014506,9.546403447,9.457363544,9.568690646,9.583150554
b0039,TI83333S000040,CDS,crotonobetainyl-CoA dehydrogenase,catalyzes the reduction of crotonobetainyl-CoA to gamma-butyrobetainyl-Coa; go_component: cytoplasm [goid 0005737]; go_function: electron acceptor activity [goid 0009054]; go_process: glyoxylate cycle [goid 0006097]; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,39244-40386,b0039,11.32293267,11.13935959,11.23263767,11.36970238,11.3559389,11.46720227
b0040,TI83333S000041,CDS,L-carnitine/gamma-butyrobetaine antiporter,catalyzes the exchange of L-carnitine for gamma-butyrobetaine in carnitine metabolism; go_component: inner membrane [goid 0019866]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,40417-41931,b0040,7.932036961,7.848878367,7.976515123,8.064008354,8.13008353,8.043126856
b0041,TI83333S000042,CDS,putative electron transfer flavoprotein subunit beta,thought to participate in the transfer of electrons to nitrogenase during nitrogen fixation; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,42367-43173,b0041,9.010392403,9.109683684,9.120552889,9.180729855,9.437613921,9.220437824
b0042,TI83333S000043,CDS,putative electron transfer flavoprotein subunit alpha,involved in electron transfer during carnitine metabolism; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,43188-44129,b0042,10.86447092,10.73583595,10.89111498,10.94705402,11.08675079,11.11964599
b0043,TI83333S000044,CDS,carnitine metabolism related,flavoprotein; electron transport; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,44180-45466,b0043,11.69130764,11.66217902,11.77804306,11.92362414,11.98723625,11.99390584
b0044,TI83333S000045,CDS,putative ferredoxin,"putative ferredoxin, carnitine metabolism; go_process: carnitine catabolism [goid 0042413]","Escherichia coli K12, complete genome.",NC_000913,45463-45750,b0044,10.48674967,10.50458879,10.65335828,10.7148308,10.88529007,10.87377078
b0045,TI83333S000046,CDS,putative transport protein,putative transport protein (MFS family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,45807-47138,b0045,7.412221564,7.398975273,7.469391307,7.443081783,7.590393009,7.511689877
b0046,TI83333S000047,CDS,glutathione-regulated potassium-efflux system ancillary protein,"Required for full activity of KefC, a potassium-proton antiporter","Escherichia coli K12, complete genome.",NC_000913,47246-47776,b0046,9.904697615,10.18923195,10.11674687,9.239256762,9.030382571,9.082212739
b0047,TI83333S000048,CDS,glutathione-regulated potassium-efflux system protein,transport system that facilitates potassium-efflux; go_component: inner membrane [goid 0019866]; go_function: potassium:hydrogen antiporter activity [goid 0015386],"Escherichia coli K12, complete genome.",NC_000913,47769-49631,b0047,10.83463942,11.16251786,11.12276232,10.72137166,10.80143568,10.84850205
b0048,TI83333S000049,CDS,"dihydrofolate reductase type I, trimethoprim resistance",dihydrofolate reductase type I; trimethoprim resistance; go_process: folic acid biosynthesis [goid 0046656]; go_process: 10-formyltetrahydrofolate biosynthesis [goid 0009257],"Escherichia coli K12, complete genome.",NC_000913,49823-50302,b0048,10.02723259,10.9881052,10.46399033,9.339678281,9.063387389,9.053306109
b0049,TI83333S000050,CDS,diadenosinetetraphosphatase,"hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP; go_component: cytoplasm [goid 0005737]; go_process: nucleobase, nucleoside and nucleotide interconversion [goid 0015949]","Escherichia coli K12, complete genome.",NC_000913,50380-51222,b0049,11.63868391,12.04018505,11.98236175,10.86396039,10.88781758,10.83251566
b0050,TI83333S000051,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,51229-51606,b0050,13.28451097,13.71675302,13.71749876,12.70967053,12.64536533,12.62882193
b0051,TI83333S000052,CDS,dimethyladenosine transferase,Specifically dimethylates two adjacent adenosines in the loop of a conserved hairpin near the 3'end of 16S rRNA in the 30S particle. Its inactivation leads to kasugamycin resistance; go_component: cytoplasm [goid 0005737]; go_process: RNA modification [goid 0009451]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,51609-52430,b0051,13.28767423,13.85137871,13.86775559,12.77577238,12.67902386,12.68933567
b0052,TI83333S000053,CDS,4-hydroxythreonine-4-phosphate dehydrogenase,Catalyzes the NAD-dependent oxidation of 4-(phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4-(phosphohydroxy)butyric acid which spontaneously decarboxylate to form 1-amino-3-(phosphohydroxy)propan-2-one (3-amino-2-oxopropyl phosphate); go_component: cytoplasm [goid 0005737]; go_process: pyridoxine biosynthesis [goid 0008615],"Escherichia coli K12, complete genome.",NC_000913,52427-53416,b0052,12.28135952,12.87674878,12.96892074,11.27417882,11.36963713,11.44882064
b0053,TI83333S000054,CDS,"peptidyl-prolyl cis-trans isomerase (PPIase), involved in maturation of outer membrane proteins",survival protein; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,53416-54702,b0053,13.51189216,13.71212133,13.76374556,13.29485924,13.28106137,13.27320252
b0054,TI83333S000055,CDS,organic solvent tolerance protein precursor,determines N-hexane tolerance and is involved in outer membrane permeability; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,54755-57109,b0054,14.00525707,14.17088559,14.15452893,13.55546051,13.49362266,13.52690446
b0055,TI83333S000056,CDS,Dna-J like membrane chaperone protein,functions as a co-chaperone with DnaK; involved in regulation of colanic acid capsule; inner membrane protein; dimerized via transmembrane domain; J-like domain is cytoplasmic and can functionally substitute for DnaJ; stimulates synthesis of colanic acid m; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,57364-58179,b0055,12.23481908,12.31603391,12.30149782,12.3483763,12.16636679,12.20422823
b0056,TI83333S000057,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,58474-59124,b0056,10.91634858,10.96625168,10.93211033,10.79868466,10.72534578,10.72194114
b0057,TI83333S000058,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,59121-59279,b0057,12.50761224,12.48748775,12.2569365,12.11661487,12.03673979,12.01898651
b0058,TI83333S000059,CDS,23S rRNA pseudouridylate 746 synthase,Ribosomal large subunit pseudouridine synthase A; go_process: RNA modification [goid 0009451],"Escherichia coli K12, complete genome.",NC_000913,59687-60346,b0058,11.73034525,11.88386874,11.93333264,11.80153745,11.67837332,11.73023925
b0059,TI83333S000060,CDS,ATP-dependent helicase HepA,"Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on; go_process: RNA modification [goid 0009451]","Escherichia coli K12, complete genome.",NC_000913,60358-63264,b0059,11.89149401,12.0348001,12.14156161,11.65688666,11.65634174,11.60912031
b0060,TI83333S000061,CDS,DNA polymerase II,"has polymerase, DNA-binding and 3'-5' exonuclease activities; go_component: cytoplasm [goid 0005737]; go_process: DNA dependent DNA replication [goid 0006261]; go_process: DNA repair [goid 0006281]; go_process: response to radiation [goid 0009314]; go_process: SOS response [goid 0009432]","Escherichia coli K12, complete genome.",NC_000913,63429-65780,b0060,12.9262269,12.60901534,12.64248277,10.85250342,10.81292499,10.86077661
b0061,TI83333S000062,CDS,L-ribulose-5-phosphate 4-epimerase,catalyzes the formation of D-xylulose 5-phosphate from L-ribulose 5-phosphate; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,65855-66550,b0061,8.865825512,8.899766967,8.893425951,8.941864583,9.07767432,8.955848911
b0062,TI83333S000063,CDS,L-arabinose isomerase,catalyzes the formation of L-ribulose from L-arabinose in L-arabinose catabolism; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,66835-68337,b0062,8.960772797,8.848985705,8.8635908,8.726015104,8.841057847,8.853913978
b0063,TI83333S000064,CDS,ribulokinase,catalyzes the phosphorylation of ribulose to ribulose 5-phosphate; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,68348-70048,b0063,9.326261957,9.213005103,9.253696225,9.37135348,9.355778681,9.428365406
b0064,TI83333S000065,CDS,transcriptional regulator for ara operon,transcriptional regulator of arabinose catabolism (AraC/XylS family); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: carbohydrate catabolism [goid 0016052]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,70387-71265,b0064,11.59950219,10.66521375,10.70838299,11.82069646,11.54809021,11.77087729
b0065,TI83333S000066,CDS,putative integral membrane protein,,"Escherichia coli K12, complete genome.",NC_000913,71351-72115,b0065,11.89011185,12.01482457,12.05948603,12.06134207,12.11197619,12.06948136
b0066,TI83333S000067,CDS,putative ATP-binding component of a transport system,"thiamine transport protein (ABC superfamily, atp_bind); go_component: cytoplasm [goid 0005737]; go_process: thiamin biosynthesis [goid 0009228]","Escherichia coli K12, complete genome.",NC_000913,72229-72927,b0066,10.65993427,11.21011418,11.16480651,10.33594026,10.10371645,10.10753208
b0067,TI83333S000068,CDS,thiamin ABC transporter membrane component,functions in transport of thiamine and thiamine pyrophosphate into the cell; repressed in presence of exogenous thiamine; go_component: inner membrane [goid 0019866]; go_process: thiamin biosynthesis [goid 0009228],"Escherichia coli K12, complete genome.",NC_000913,72911-74521,b0067,10.68000212,11.57025227,11.55192801,10.36536234,10.3169759,10.29770598
b0068,TI83333S000069,CDS,thiamin-binding periplasmic protein,"thiamine transport protein (ABC superfamily, peri_bind); go_component: periplasmic space [goid 0042597]; go_process: thiamin biosynthesis [goid 0009228]","Escherichia coli K12, complete genome.",NC_000913,74497-75480,b0068,11.06806705,11.93610192,11.73220584,10.7797793,10.69575126,10.67484209
b0069,TI83333S000070,CDS,putative periplasmic binding protein of transport system,putative transport protein; go_component: periplasmic space [goid 0042597],"Escherichia coli K12, complete genome.",NC_000913,75644-77299,b0069,10.35037846,9.985784953,10.03822324,10.24639813,10.2959975,10.37395334
b0070,TI83333S000071,CDS,Sugar efflux protein,"proton-coupled beta-galactosidase, lactose and glucose efflux pump (MFS family); go_component: inner membrane [goid 0019866]; go_function: lactose/glucose efflux transporter activity [goid 0015543]; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,77621-78799,b0070,11.73385933,11.4921867,11.62016522,11.77442454,11.76612133,11.79330988
b0071,TI83333S000072,CDS,isopropylmalate isomerase small subunit,catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate in leucine biosynthesis; forms a heterodimer of LeuC/D; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,78848-79453,b0071,14.65868614,14.43595352,14.38348466,14.78975372,14.70039944,14.65710679
b0072,TI83333S000073,CDS,isopropylmalate isomerase large subunit,catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,79464-80864,b0072,14.85758691,14.6029503,14.71359438,14.95625371,14.92077827,14.90628679
b0073,TI83333S000074,CDS,3-isopropylmalate dehydrogenase,catalyzes the oxidation of 3-isopropylmalate to 3-carboxy-4-methyl-2-oxopentanoate in leucine biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,80867-81961,b0073,14.19229005,14.08589052,14.20794504,13.9947344,14.07304042,14.03270864
b0074,TI83333S000075,CDS,2-isopropylmalate synthase,catalyzes the formation of 2-isopropylmalate from acetyl-CoA and 2-oxoisovalerate in leucine biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,81958-83529,b0074,14.82464407,14.10310902,14.22919574,14.81577144,14.92138608,14.86914177
b0075,TI83333S000076,CDS,leu operon leader peptide,go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,83622-83708,b0075,15.22410523,13.89612232,13.77528575,14.3266587,13.88114395,13.84596998
b0076,TI83333S000077,CDS,leucine transcriptional activator,activator for leuABCD operon; member of LysR family of transcriptional activators; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: leucine biosynthesis [goid 0009098]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,84191-85312,b0076,9.829913488,9.205582974,9.487984924,9.915648333,10.15198636,10.04902899
b0077,TI83333S000078,CDS,acetolactate synthase III large subunit,"catalyzes the formation of 2-acetolactate from pyruvate, leucine sensitive","Escherichia coli K12, complete genome.",NC_000913,85540-87354,b0077,14.16291125,14.1083781,14.13699882,13.73216031,13.67604557,13.70751503
b0078,TI83333S000079,CDS,acetolactate synthase small subunit,"with IlvI catalyzes the formation of 2-acetolactate from pyruvate, the small subunit is required for full activity and valine sensitivity","Escherichia coli K12, complete genome.",NC_000913,87357-87848,b0078,14.88272316,14.75629667,14.70194905,14.38281381,14.40187129,14.3801841
b0079,TI83333S000080,CDS,fruR leader peptide,go_process: glycolysis [goid 0006096],"Escherichia coli K12, complete genome.",NC_000913,87860-87946,b0079,12.08227414,12.13775705,12.01491749,11.42675625,11.34698128,11.41127297
b0080,TI83333S000081,CDS,transcriptional regulator of the control of carbon and energy metabolism (GalR/LacI family),transcriptional repressor of fru operon and others; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: glycolysis [goid 0006096]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,88028-89032,b0080,12.17985567,12.29149342,12.26862606,11.83546525,11.72353168,11.90774602
b0081,TI83333S000082,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,89634-90092,b0081,14.49418011,14.04926797,14.06943224,14.23270556,13.78005258,14.02301791
b0082,TI83333S000083,CDS,S-adenosyl-methyltransferase,go_process: lipoprotein biosynthesis [goid 0042158],"Escherichia coli K12, complete genome.",NC_000913,90094-91035,b0082,13.88655164,13.46911525,13.41783228,13.77727675,13.48948254,13.70619394
b0083,TI83333S000084,CDS,cell division protein; ingrowth of wall at septum,,"Escherichia coli K12, complete genome.",NC_000913,91032-91397,b0083,14.26148284,13.90538211,13.82370418,14.06457194,13.86936844,14.04996621
